start:12.919| end:17.904| speaker:SPEAKER_00| text: Next up is a tool to help you become king or queen of your own castle.
start:121.892| end:128.003| speaker:SPEAKER_02| text:We're unique in the fact that we split, so the molds split in half, but they also are stackable in the right kind of sand.
start:128.023| end:129.405| speaker:SPEAKER_02| text:You built that entire castle.
start:129.906| end:130.968| speaker:SPEAKER_02| text:How long did that take?
start:131.128| end:132.411| speaker:SPEAKER_02| text:That took me under two hours.
start:134.614| end:135.475| speaker:SPEAKER_00| text: I see a patent.
start:135.575| end:136.696| speaker:SPEAKER_02| text:Do you want to tell us about that?
start:137.096| end:138.037| speaker:SPEAKER_00| text:Yes, so go ahead.
start:138.077| end:140.719| speaker:SPEAKER_02| text:We have... Yeah, we have 12 patents worldwide.
start:138.077| end:140.719| speaker:SPEAKER_02| text:We have... Yeah, we have 12 patents worldwide.
start:140.999| end:142.1| speaker:SPEAKER_00| text:Wow.
start:140.999| end:142.1| speaker:SPEAKER_00| text:Wow.
start:142.541| end:143.381| speaker:SPEAKER_02| text:It is your patent.
start:143.441| end:147.445| speaker:SPEAKER_02| text:You believe that protects you against anybody who wants to start splitting their doors open?
start:147.485| end:148.36599999999999| speaker:SPEAKER_02| text:We have broad coverage.
start:148.426| end:149.386| speaker:SPEAKER_02| text:It scales up and down.
start:149.426| end:152.789| speaker:SPEAKER_02| text:That's why we're going down into the indoor line now as well.
start:152.809| end:154.291| speaker:SPEAKER_01| text:All right, guys, look.
start:154.651| end:157.013| speaker:SPEAKER_01| text:This is a very, very seasonal product.
start:158.03| end:159.231| speaker:SPEAKER_00| text: It works in the snow.
start:159.251| end:162.652| speaker:SPEAKER_00| text:Oh, that's really cute.
start:162.672| end:164.253| speaker:SPEAKER_00| text:Thank you, Mr. Mart.
start:164.273| end:164.53300000000002| speaker:SPEAKER_00| text:Perfect.
start:164.573| end:165.393| speaker:SPEAKER_00| text:Yeah, so it does.
start:165.453| end:166.394| speaker:SPEAKER_00| text:It works year round.
start:166.79399999999998| end:169.375| speaker:SPEAKER_00| text:We figured that out the first year we did it.
start:169.495| end:171.176| speaker:SPEAKER_00| text:And you can stack like crazy.
start:171.196| end:173.016| speaker:SPEAKER_00| text:It's like Elsa's castle in the winter.
start:173.036| end:173.356| speaker:SPEAKER_00| text:That's it.
start:173.436| end:174.237| speaker:SPEAKER_00| text:We built it.
start:174.597| end:175.677| speaker:SPEAKER_00| text:That's really, really cute.
start:175.697| end:178.999| speaker:SPEAKER_01| text:I was about to say, who wants a castle in the winter, but Elsa.
start:179.079| end:179.619| speaker:SPEAKER_00| text:Elsa.
start:180.359| end:182.06| speaker:SPEAKER_01| text:So guys, what are the price ranges?
start:182.1| end:183.761| speaker:SPEAKER_01| text:What's the least and what's the most?
start:184.361| end:210.964| speaker:SPEAKER_00| text: so we go the tool kit that we have there the small box that's ten dollars and then the pro kit retails for fifty dollars what's your landed cost on this the little one is landed at two dollars the pro kit that cost us 9.45 so what did you sell last year you're imputing a value of a 3.5 million on this last year we did 600 000 and then this year we are doing three million three million wait a minute whoa how did that are you kidding me what we are
start:211.264| end:214.04500000000002| speaker:SPEAKER_01| text: We landed Costco Canada as well as Sam's Club.
start:214.425| end:217.906| speaker:SPEAKER_01| text:On the $600,000 in sales last year, what did you make on that?
start:218.166| end:219.80599999999998| speaker:SPEAKER_00| text:We were actually negative $100,000.
start:221.24599999999998| end:222.80700000000002| speaker:SPEAKER_00| text:We lost money last year.
start:223.007| end:223.267| speaker:SPEAKER_00| text:Why?
start:223.507| end:227.768| speaker:SPEAKER_00| text:And that was really due to the shipping costs were, like, 5X what we had budgeted.
start:227.788| end:228.548| speaker:SPEAKER_00| text:Because of COVID.
start:228.828| end:235.17000000000002| speaker:SPEAKER_00| text:Yeah, like, we used to get a container in for, you know, $4,000 to $6,000, and, you know, a couple of our containers last year were $25,000.
start:236.47| end:239.87099999999998| speaker:SPEAKER_01| text:And the $3 million in sales, including the Costco and Sam's Club order,
start:240.009| end:241.23| speaker:SPEAKER_02| text: What do you think you'll make on that?
start:241.25| end:242.531| speaker:SPEAKER_01| text:This year, we're going to make about $300,000.
start:244.353| end:246.114| speaker:SPEAKER_02| text:What is your margin to Costco then?
start:246.515| end:248.757| speaker:SPEAKER_01| text:The margin we made, about 27% to 32% margin.
start:248.797| end:250.738| speaker:SPEAKER_01| text:So that's part of your challenge.
start:250.778| end:252.12| speaker:SPEAKER_00| text:So it's definitely a lot less, yes.
start:253.16| end:278.568| speaker:SPEAKER_01| text: okay what are you looking for help for because right now it looks like you are scaling really well i understand you need to reduce costs but what else are you looking for i think mostly we need you know with the the capital that we're asking for to invest into more product and we just need expertise we've made so many mistakes and we're expanding into a whole we want to open up a whole licensing version a licensing version did you say damon
start:280.54| end:281.0| speaker:SPEAKER_03| text: You're looking for $350,000.
start:281.4| end:284.661| speaker:SPEAKER_03| text:I'm going to assume that's primarily for inventory.
start:285.162| end:288.823| speaker:SPEAKER_03| text:And you're trying to figure out the Costco order translating into a U.S.
start:288.883| end:289.923| speaker:SPEAKER_03| text:Costco order, correct?
start:289.983| end:291.484| speaker:SPEAKER_03| text:Because a lot of people test up in Canada.
start:291.504| end:291.844| speaker:SPEAKER_01| text:Are you sure?
start:291.864| end:292.464| speaker:SPEAKER_01| text:Yeah, not necessarily.
start:292.484| end:294.345| speaker:SPEAKER_03| text:Are you sure that you can make money off of that order?
start:294.365| end:295.645| speaker:SPEAKER_01| text:Yeah, not necessarily.
start:295.685| end:297.866| speaker:SPEAKER_01| text:I mean, we've learned a lot getting into the big box stores.
start:297.946| end:302.087| speaker:SPEAKER_03| text:Are you going to make money on the Costco order because they're going to ask you for some co-op advertising as well?
start:302.488| end:302.748| speaker:SPEAKER_01| text:Right.
start:303.088| end:305.008| speaker:SPEAKER_03| text:That and markdowns and everything.
start:305.028| end:306.429| speaker:SPEAKER_01| text:Yeah, we know we have the percentage of markdowns.
start:306.469| end:308.089| speaker:SPEAKER_03| text:And they have the right to return the last 15% of it?
start:308.109| end:308.209| speaker:SPEAKER_02| text:Yes.
start:310.131| end:310.772| speaker:SPEAKER_02| text: Okay, so we've evolved.
start:310.813| end:312.898| speaker:SPEAKER_02| text:So it sounds like you've had returns and markdowns.
start:313.01800000000003| end:314.101| speaker:SPEAKER_01| text:Yes, yes, we've been experiencing that.
start:314.121| end:315.243| speaker:SPEAKER_02| text:And that's impacted your 27% margins even worse.
start:315.284| end:315.36400000000003| speaker:SPEAKER_02| text:Yes.
start:318.39300000000003| end:321.795| speaker:SPEAKER_02| text: Yeah, guys, I think there's too much of an emphasis on sales rather than profits.
start:322.096| end:326.378| speaker:SPEAKER_02| text:Every entrepreneur gets really hyped about doing business with big box retailers.
start:326.859| end:330.841| speaker:SPEAKER_02| text:But the reality is, it's just going to take more and more cash like you found out.
start:331.242| end:333.903| speaker:SPEAKER_02| text:And so, you know, chasing margin and profits is good.
start:334.36400000000003| end:338.286| speaker:SPEAKER_02| text:Chasing sales, in my mind, particularly in these uncertain days, is bad.
start:338.887| end:340.508| speaker:SPEAKER_02| text:And so for those reasons, I'm out.
start:342.18600000000004| end:343.086| speaker:SPEAKER_03| text: Guys, let me tell you where I'm at.
start:343.166| end:345.947| speaker:SPEAKER_03| text:I'm looking at the business model strictly as an investment.
start:346.007| end:348.288| speaker:SPEAKER_03| text:Anytime it's $350,000, that's serious capital.
start:348.608| end:352.049| speaker:SPEAKER_03| text:I'm not even going to beat you up on the $3.5 million valuation, although I should.
start:352.509| end:356.25| speaker:SPEAKER_03| text:It's in my DNA to do that, but I'm going to hold back because I'm under anger management this year.
start:356.73| end:359.991| speaker:SPEAKER_03| text:So at the end of the day, it's not investable yet.
start:360.089| end:362.454| speaker:SPEAKER_00| text: because the business model isn't nailed down.
start:363.075| end:369.807| speaker:SPEAKER_00| text:My sense is to dump the low end completely, raise the prices 30%, sell only on your own website direct.
start:370.028| end:371.33| speaker:SPEAKER_00| text:Otherwise, you're never gonna make any money.
start:371.771| end:372.031| speaker:SPEAKER_00| text:I'm out.
start:373.533| end:373.853| speaker:SPEAKER_02| text: Okay.
start:374.234| end:374.574| speaker:SPEAKER_02| text:Thank you.
start:374.654| end:376.595| speaker:SPEAKER_02| text:Listen, I don't agree with what he just said.
start:376.876| end:382.36| speaker:SPEAKER_02| text:Your price point, I think, is excellent, and I have always found I like to make products for the masses.
start:382.6| end:385.742| speaker:SPEAKER_02| text:I like to make things where everybody can afford and enjoy it.
start:386.303| end:391.126| speaker:SPEAKER_02| text:But I think, for me, it's not something that I want to invest, and I don't invest in everything that I like.
start:391.787| end:394.729| speaker:SPEAKER_02| text:You're doing everything right, and I wish you good luck, but I'm out.
start:398.659| end:400.922| speaker:SPEAKER_01| text: I absolutely love this product.
start:400.942| end:401.343| speaker:SPEAKER_01| text:Thank you.
start:401.403| end:406.009| speaker:SPEAKER_01| text:It brings me joy, and I love your price point, and I actually totally disagree with Kevin.
start:406.069| end:409.253| speaker:SPEAKER_01| text:I think you want a balance of wholesale and retail.
start:409.734| end:413.219| speaker:SPEAKER_01| text:Now, coming from a retailer myself who sells an omnichannel,
start:413.659| end:417.56| speaker:SPEAKER_01| text: I sell wholesale, I sell direct-to-consumer online, and I have my own retail stores.
start:418.0| end:420.161| speaker:SPEAKER_01| text:I think you can do it very thoughtfully.
start:420.44100000000003| end:424.702| speaker:SPEAKER_01| text:Now, some of the discount retailers, I will agree with Kevin, can absolutely kill you.
start:425.002| end:429.443| speaker:SPEAKER_01| text:So be thoughtful about where you go, but I think you've got a home run.
start:430.104| end:431.244| speaker:SPEAKER_01| text:I'm going to give you an offer.
start:431.88| end:437.322| speaker:SPEAKER_01| text: I'm gonna give you your $350,000, but I don't think your valuation's $3.5 million.
start:437.442| end:437.722| speaker:SPEAKER_01| text:Okay.
start:437.742| end:439.062| speaker:SPEAKER_01| text:You lost $100,000 last year.
start:439.342| end:444.244| speaker:SPEAKER_01| text:So I don't see the $3.5, but I do see that there's going to be great potential and opportunity.
start:445.36400000000003| end:446.324| speaker:SPEAKER_01| text:I'd like to give you $350,000 for 20%.
start:446.885| end:454.547| speaker:SPEAKER_01| text:And I think I can help you with that omni-channel, which I do think is gonna help you build the business the way you want to build it.
start:455.187| end:455.48699999999997| speaker:SPEAKER_01| text:Okay.
start:455.847| end:456.16700000000003| speaker:SPEAKER_00| text:Awesome.
start:458.808| end:459.528| speaker:SPEAKER_00| text:Wait, wait, wait, wait.
start:460.429| end:460.729| speaker:SPEAKER_00| text:Hold on.
start:464.741| end:479.831| speaker:SPEAKER_00| text: like this but Mark has a valid point you know this is gonna be your personal decision right do you raise the price stay online and you know net more or you want to go big do you bring in a shark
start:480.269| end:481.05| speaker:SPEAKER_00| text: and you go big.
start:481.391| end:485.136| speaker:SPEAKER_00| text:But if you go big, it's a huge cash suck.
start:485.797| end:486.257| speaker:SPEAKER_00| text:Massive.
start:486.738| end:489.702| speaker:SPEAKER_00| text:So I'm only interested in this for the licensing aspect.
start:490.683| end:493.667| speaker:SPEAKER_00| text:That's a personal decision, but I will give you the $350,000 for 25%, and licensing is the key.
start:498.328| end:500.048| speaker:SPEAKER_01| text: You know, look, I disagree with Damon.
start:500.308| end:506.09| speaker:SPEAKER_01| text:I don't think this is just a licensing play, and I don't see why you guys can't be the next big toy manufacturer.
start:506.31| end:507.29| speaker:SPEAKER_01| text:So that's what I want to do.
start:507.33| end:509.63| speaker:SPEAKER_01| text:I want you to dream big, and I think I can help you get there.
start:509.65| end:512.011| speaker:SPEAKER_00| text:By the way, when I say dream big, I'm talking about dreaming big.
start:514.271| end:514.871| speaker:SPEAKER_00| text:What do you want to do?
start:514.891| end:522.313| speaker:SPEAKER_01| text:Would you guys ever work together with the licensing?
start:523.502| end:527.103| speaker:SPEAKER_00| text: I would love to work with her, but in this area, I'm the most successful licensing guy up here.
start:527.283| end:528.263| speaker:SPEAKER_00| text:That's my area.
start:528.923| end:530.003| speaker:SPEAKER_01| text:And I'm a brand builder.
start:530.123| end:531.504| speaker:SPEAKER_01| text:I built my own brand, right?
start:531.544| end:533.344| speaker:SPEAKER_01| text:From the ground up, out of my extra bedroom.
start:533.704| end:534.844| speaker:SPEAKER_00| text:So I'm going to interpret that for you.
start:534.884| end:536.4639999999999| speaker:SPEAKER_00| text:They said no, they don't want to work together.
start:536.805| end:537.505| speaker:SPEAKER_00| text:What do you want to do?
start:538.765| end:539.525| speaker:SPEAKER_01| text:You can counter.
start:539.545| end:546.986| speaker:SPEAKER_01| text:You want to counter?
start:547.006| end:547.347| speaker:SPEAKER_01| text:Yeah.
start:547.447| end:548.707| speaker:SPEAKER_01| text:Would you be interested at 15%?
start:551.874| end:552.615| speaker:SPEAKER_01| text: I'd like to stay at 20.
start:553.075| end:553.375| speaker:SPEAKER_01| text:Okay.
start:554.656| end:556.978| speaker:SPEAKER_00| text:I'm going to let you make the call.
start:556.998| end:563.023| speaker:SPEAKER_00| text:She makes the decision.
start:568.308| end:571.35| speaker:SPEAKER_01| text:I respect both of you, all of you guys anyways.
start:571.49| end:572.151| speaker:SPEAKER_01| text:Absolutely.
start:573.112| end:575.494| speaker:SPEAKER_01| text:But I think we're going to go with Kendra at the 20th.
start:580.066| end:583.807| speaker:SPEAKER_01| text: Thank you, guys.
start:588.928| end:589.808| speaker:SPEAKER_01| text:Thank you.
start:589.8679999999999| end:590.929| speaker:SPEAKER_01| text:Sorry, Damon.
start:590.969| end:591.829| speaker:SPEAKER_01| text:Thank you so much.
start:593.389| end:599.991| speaker:SPEAKER_01| text:One of the reasons we went with Kendra is from the get-go, when we walked in there, she was so excited about the products and told us
start:600.009| end:605.172| speaker:SPEAKER_01| text: really was invested in us and, you know, talked about the beach and her kids, so we knew she would be the perfect fit for us.
start:605.692| end:606.833| speaker:SPEAKER_01| text:I love this product.
start:607.654| end:608.314| speaker:SPEAKER_02| text:It's very cute.
start:608.334| end:610.215| speaker:SPEAKER_01| text:I love it, and I'm going to use it with my kids.
start:610.275| end:615.098| speaker:SPEAKER_02| text:That's a massively... Don't do it.
start:615.158| end:616.118| speaker:SPEAKER_02| text:That's a bad deal.
start:616.139| end:619.44| speaker:SPEAKER_02| text:I mean, I just think they're a bad judge of character.
start:620.741| end:621.862| speaker:SPEAKER_01| text:I'm going to go try to build it back up.
start:621.882| end:622.362| speaker:SPEAKER_01| text:Go ahead.
start:622.502| end:622.842| speaker:SPEAKER_02| text:We'll wait.
start:627.899| end:633.191| speaker:SPEAKER_00| text: Next into the tank is a couple hoping to wrap up a deal for their low-calorie superfood.
start:642.298| end:642.758| speaker:SPEAKER_02| text: Hi, Sharks.
start:643.079| end:643.92| speaker:SPEAKER_02| text:My name is Nguyen.
start:644.12| end:649.545| speaker:SPEAKER_01| text:And my name is Melissa Kalalawang, and we're from New York, seeking $300,000 for 3% equity of our company.
start:650.445| end:653.008| speaker:SPEAKER_02| text:Sharks, let's talk about something important.
start:653.528| end:654.0889999999999| speaker:SPEAKER_02| text:Tacos.
start:654.469| end:657.872| speaker:SPEAKER_02| text:Everyone loves tacos, but my doctors say I can't eat tacos every day.
start:658.153| end:660.635| speaker:SPEAKER_01| text:That's because of the calorie-laden tortilla.
start:660.755| end:661.936| speaker:SPEAKER_01| text:And switching to lettuce wraps?
start:662.456| end:662.997| speaker:SPEAKER_02| text:Uh, no.
start:663.217| end:665.94| speaker:SPEAKER_02| text:They break apart whenever you pick them up, and they just don't taste great.
start:666.502| end:671.849| speaker:SPEAKER_01| text: If only there was something that combined the nutritional benefit of a lettuce wrap and the functionality of a traditional tortilla.
start:671.909| end:672.53| speaker:SPEAKER_01| text:Well, now there is.
start:672.55| end:674.673| speaker:SPEAKER_01| text:Say hello to... Hiccarabs!
start:674.974| end:678.779| speaker:SPEAKER_01| text:A crisp and refreshing tortilla alternative made from thin slices of fresh jicama.
start:679.34| end:680.061| speaker:SPEAKER_01| text:Hicca-what? !
start:683.413| end:686.395| speaker:SPEAKER_01| text: Hey, it's Hiccup Man, a member of the League of Superfoods.
start:687.096| end:690.358| speaker:SPEAKER_01| text:Pickles are a hero ingredient because it truly is a superfood.
start:690.599| end:698.885| speaker:SPEAKER_01| text:It's super low calorie, super low carb, super high fiber, and one of its superpowers is improving gut health.
start:700.266| end:701.726| speaker:SPEAKER_02| text: It's a yeah!
start:701.766| end:708.148| speaker:SPEAKER_02| text:Compared to a tortilla which contains 100 calories and 15 carbs, our wraps are only 8 calories and 1 net carb per wrap.
start:708.528| end:710.149| speaker:SPEAKER_02| text:Use them to skinny any taco.
start:710.329| end:714.41| speaker:SPEAKER_01| text:Plus, they're perfectly round and pliable, and their neutral taste pairs well with any recipe.
start:714.55| end:719.931| speaker:SPEAKER_02| text:So whether you're gluten-free, paleo, keto, Whole30, or just looking for a healthier way to make
start:720.049| end:721.931| speaker:SPEAKER_00| text: everyday Taco Tuesday.
start:721.951| end:723.992| speaker:SPEAKER_02| text:You can say, see ya, tortilla.
start:724.312| end:727.635| speaker:SPEAKER_00| text:Lettuce, do better with Hicca wraps.
start:727.795| end:729.316| speaker:SPEAKER_00| text:Hicca, yeah.
start:729.416| end:731.858| speaker:SPEAKER_00| text:Come on, sharks, and join the Hicca mania.
start:732.739| end:733.72| speaker:SPEAKER_00| text:Hicca what?
start:733.78| end:734.661| speaker:SPEAKER_02| text:Hicca what?
start:735.021| end:737.523| speaker:SPEAKER_02| text:So we've got, you guys have got samples of our jicama tacos.
start:737.803| end:741.406| speaker:SPEAKER_02| text:You've got samples of our jicama sticks with cilantro lime seasoning and our jicama de gallo.
start:741.806| end:744.788| speaker:SPEAKER_02| text:The jicama de gallo is our pico de gallo with jicama in it.
start:745.209| end:746.91| speaker:SPEAKER_01| text:Can I get one without the stuffing?
start:746.95| end:749.092| speaker:SPEAKER_01| text:I just want to taste the actual tortilla.
start:749.537| end:750.979| speaker:SPEAKER_01| text: Have you never had jicama before?
start:751.319| end:755.103| speaker:SPEAKER_01| text:It's like a watery, very pleasant-tasting, slightly sweet root.
start:755.443| end:758.927| speaker:SPEAKER_01| text:I actually have jicama taco recipes in my last cookbook.
start:759.267| end:759.928| speaker:SPEAKER_01| text:Oh, you do?
start:760.448| end:761.529| speaker:SPEAKER_01| text:How much do you sell it for?
start:761.569| end:762.53| speaker:SPEAKER_02| text:What does it cost to make it?
start:762.631| end:764.192| speaker:SPEAKER_02| text:So, we make it for $1.85.
start:764.232| end:768.817| speaker:SPEAKER_02| text:We sell it to retail for $2.99, and it's on shelf for $4.99.
start:769.177| end:770.719| speaker:SPEAKER_02| text:And how many do I get in that package?
start:771.039| end:773.04| speaker:SPEAKER_02| text: So you have about 15 wraps per package.
start:773.26| end:774.84| speaker:SPEAKER_02| text:Each wrap is actually about 30 cents.
start:775.1| end:777.741| speaker:SPEAKER_02| text:You're gonna pay 28 cents for a regular tortilla like this.
start:778.101| end:783.984| speaker:SPEAKER_02| text:And a grain-free tortilla like a cassava or an almond flour tortilla, you're paying over a dollar a lot of times for that kind of a tortilla.
start:784.324| end:785.624| speaker:SPEAKER_02| text:So it's very reasonably priced.
start:785.924| end:788.065| speaker:SPEAKER_01| text:I see as a trend in the wellness
start:789.265| end:791.366| speaker:SPEAKER_01| text: grain-free is becoming a huge thing.
start:791.446| end:797.7090000000001| speaker:SPEAKER_01| text:First, it was gluten-free, and now it's, like, full-on grain-free, so people are not even having rice or quinoa.
start:797.769| end:803.331| speaker:SPEAKER_01| text:They're really moving into this category, so I understand why it's getting traction for sure.
start:803.651| end:804.912| speaker:SPEAKER_01| text:Hey, are you making any money?
start:804.952| end:805.912| speaker:SPEAKER_01| text:Do you have any profits?
start:806.744| end:810.726| speaker:SPEAKER_00| text: So we started the company in 2015 and we launched with a different product.
start:811.106| end:811.986| speaker:SPEAKER_00| text:It was a jicama chip.
start:812.386| end:814.847| speaker:SPEAKER_00| text:And that jicama chip, we got to $500,000 in sales.
start:815.227| end:822.19| speaker:SPEAKER_00| text:The issue was we were competing in the salty snacks category and we were competing with large giants and we were losing so much money.
start:822.4300000000001| end:827.652| speaker:SPEAKER_00| text:We got to the point where we only had $300 in our bank account and $70,000 of credit card debt.
start:827.892| end:830.473| speaker:SPEAKER_00| text:We literally Airbnb'd our house just to survive.
start:830.853| end:832.494| speaker:SPEAKER_00| text:We sold our car, we sold everything.
start:832.914| end:833.635| speaker:SPEAKER_00| text:So we pivoted in 2019
start:834.835| end:836.8820000000001| speaker:SPEAKER_00| text: from our jicama chips to fresh-cut jicama.
start:837.283| end:839.931| speaker:SPEAKER_00| text:So in 2019, just one year sales, $1 million.
start:840.59| end:841.47| speaker:SPEAKER_03| text: Wow.
start:841.49| end:842.872| speaker:SPEAKER_03| text:2020, $4 million.
start:843.392| end:844.193| speaker:SPEAKER_03| text:What?
start:844.213| end:845.454| speaker:SPEAKER_03| text:2021, $5 million.
start:845.514| end:847.276| speaker:SPEAKER_03| text:This year, we're doing $6 million.
start:847.336| end:847.636| speaker:SPEAKER_00| text:Wow.
start:847.917| end:848.357| speaker:SPEAKER_00| text:OK.
start:848.457| end:850.879| speaker:SPEAKER_00| text:This year, in terms of profits, about $400,000.
start:851.3| end:859.708| speaker:SPEAKER_00| text:About the same as last year, our profits are a little down this year because we've been putting a lot of our money and resources into actually building our own self-manufacturing capacity.
start:859.968| end:861.109| speaker:SPEAKER_00| text:Where are you manufacturing?
start:862.17| end:865.793| speaker:SPEAKER_00| text: The jicama products are processed and sourced in Mexico.
start:866.013| end:871.737| speaker:SPEAKER_00| text:Mexico's actually the only country that grows jicama commercially, so we like to put our manufacturing very close to the source.
start:871.937| end:873.698| speaker:SPEAKER_01| text:And how long does it stay fresh?
start:873.938| end:887.388| speaker:SPEAKER_00| text:I mean, they package it in Mexico and ship it, and then... Yeah, so our shelf life is 19 days, which is actually two to three times what normal fresh-cut processors will get on jicama, because we really optimize the packaging to extend that shelf life.
start:887.648| end:889.51| speaker:SPEAKER_01| text: What national retailers are you in, or grocers?
start:889.79| end:895.034| speaker:SPEAKER_03| text:Some of the retailers that we're in are Whole Foods, Sprouts, and we actually have a big push into food service this year with Cisco.
start:895.314| end:899.497| speaker:SPEAKER_03| text:We're actually being pushed into all of their distribution centers, so that's a great thing for our food service.
start:899.638| end:900.478| speaker:SPEAKER_02| text:How many stores are you in?
start:901.099| end:902.36| speaker:SPEAKER_00| text:We're in about $700.
start:902.76| end:904.622| speaker:SPEAKER_02| text:And that leads to $6 million in sales?
start:905.441| end:906.261| speaker:SPEAKER_02| text: They're very popular.
start:906.281| end:906.342| speaker:SPEAKER_02| text:Yes.
start:907.062| end:907.942| speaker:SPEAKER_01| text:Can I ask you a question?
start:907.962| end:912.485| speaker:SPEAKER_01| text:$300,000 for 3%, I think that imputes a $10 million valuation.
start:912.9449999999999| end:913.585| speaker:SPEAKER_01| text:You're going to make $400,000.
start:914.086| end:918.768| speaker:SPEAKER_01| text:You're asking for a 25 multiple.
start:919.2090000000001| end:925.752| speaker:SPEAKER_01| text:The stock market currently, the entire S&P, a trillion-dollar market capitalization, trades at 17.5.
start:926.553| end:929.034| speaker:SPEAKER_01| text:Who is going to pay you 25x for this?
start:929.894| end:930.975| speaker:SPEAKER_01| text:I mean, let's be realistic.
start:931.235| end:933.776| speaker:SPEAKER_00| text: Well, we did come in here asking for two times our sales.
start:933.816| end:935.457| speaker:SPEAKER_00| text:So, actually, this year, we're gonna do $6 million.
start:935.758| end:936.678| speaker:SPEAKER_00| text:Next year, we're gonna do $9 million.
start:936.698| end:941.181| speaker:SPEAKER_01| text:Yeah, but at the end of the day, it's what you make, and you're making thin margins in a food category.
start:941.581| end:943.602| speaker:SPEAKER_01| text:No one is gonna do this deal at 3%.
start:944.142| end:945.783| speaker:SPEAKER_01| text:Not here, not anywhere.
start:946.123| end:947.984| speaker:SPEAKER_03| text:Well, we'd love to hear some offers from you guys.
start:948.024| end:950.826| speaker:SPEAKER_03| text:If you want to increase the percentage, we're more than happy.
start:950.926| end:951.987| speaker:SPEAKER_01| text:I'll start with an offer.
start:952.187| end:952.447| speaker:SPEAKER_01| text:Sure.
start:953.287| end:953.667| speaker:SPEAKER_01| text:All right.
start:953.688| end:959.371| speaker:SPEAKER_01| text:I'll give you $300,000 for 10%, but I'd like a pro-rata share of what you earn from the business.
start:960.329| end:964.854| speaker:SPEAKER_00| text: So therefore, if you're taking out $90, you're handing me $10.
start:965.375| end:965.615| speaker:SPEAKER_00| text:Okay.
start:966.696| end:967.537| speaker:SPEAKER_02| text:I'll save you some time.
start:967.597| end:969.859| speaker:SPEAKER_02| text:Look, the jicama's good because I'm starving.
start:969.979| end:971.201| speaker:SPEAKER_02| text:I'm not a huge jicama fan.
start:972.244| end:973.085| speaker:SPEAKER_03| text: For those reasons, I'm out.
start:973.125| end:974.386| speaker:SPEAKER_03| text:Thank you so much, Mark.
start:974.426| end:974.886| speaker:SPEAKER_01| text:Thank you, Mark.
start:974.926| end:975.627| speaker:SPEAKER_03| text:I appreciate that.
start:975.827| end:977.108| speaker:SPEAKER_01| text:I'm going to follow Mark on this one.
start:977.768| end:978.389| speaker:SPEAKER_01| text:I'm sorry.
start:978.549| end:979.75| speaker:SPEAKER_01| text:I love you, jicama man.
start:979.89| end:981.371| speaker:SPEAKER_01| text:You're adorable.
start:981.451| end:982.212| speaker:SPEAKER_01| text:I love jicama.
start:982.252| end:983.412| speaker:SPEAKER_01| text:The product is fantastic.
start:983.452| end:986.895| speaker:SPEAKER_01| text:But for me, I make this myself at home, so.
